Affiliate License-Licensee	Does the clause describe a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?
Affiliate License-Licensor	Does the clause describe a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor?
Anti-Assignment	Does the clause require consent or notice of a party if the contract is assigned to a third party?
Audit Rights	Does the clause give a party the right to audit the books, records, or physical locations of the counterparty to ensure compliance with the contract?
Cap On Liability	Does the clause specify a cap on liability upon the breach of a party’s obligation? This includes time limitation for the counterparty to bring claims or maximum amount for recovery.
Change Of Control	Does the clause give one party the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?
Competitive Restriction Exception	Does the clause mention exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers?
Covenant Not To Sue	Is a party restricted from contesting the validity of the counterparty’s ownership of intellectual property or otherwise bringing a claim against the counterparty for matters unrelated to the contract?
Exclusivity	Does the clause specify exclusive dealing commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on collaborating or working with other parties), whether during the contract or after the contract ends (or both).
Insurance	Is there a requirement for insurance that must be maintained by one party for the benefit of the counterparty?
Ip Ownership Assignment	Does intellectual property created by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?
Irrevocable Or Perpetual License	Does the clause specify a license grant that is irrevocable or perpetual?
Joint Ip Ownership	Does the clause provide for joint or shared ownership of intellectual property between the parties to the contract?
License Grant	Does the clause contain a license granted by one party to its counterparty?
Liquidated Damages	Does the clause award either party liquidated damages for breach or a fee upon the termination of a contract (termination fee)?
Minimum Commitment	Does the clause specify a minimum order size or minimum amount or units pertime period that one party must buy from the counterparty?
Most Favored Nation	Does the clause state that if a third party gets better terms on the licensing or sale of technology/goods/services described in the contract, the buyer of such technology/goods/services under the contract shall be entitled to those better terms?
No-Solicit Of Customers	Does the clause restrict a party from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?
No-Solicit Of Employees	Does the clause restrict a party’s soliciting or hiring employees and/or contractors from the counterparty, whether during the contract or after the contract ends (or both)?
Non-Compete	Does the clause restrict the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?
Non-Disparagement	Does the clause require a party not to disparage the counterparty?
Non-Transferable License	Does the clause limit the ability of a party to transfer the license being granted to a third party?
Post-Termination Services	Does the clause subject a party to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?
Price Restrictions	Does the clause place a restriction on the ability of a party to raise or reduce prices of technology, goods, or services provided?
Revenue-Profit Sharing	Does the clause require a party to share revenue or profit with the counterparty for any technology, goods, or services?
Rofr-Rofo-Rofn	Does the clause grant one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?
Source Code Escrow	Does the clause require one party to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy, insolvency, etc.)?
Termination For Convenience	Does the clause specify that one party can terminate this contract without cause (solely by giving a notice and allowing a waiting period to expire)?
Third Party Beneficiary	Does the claus specify that that there a non-contracting party who is a beneficiary to some or all of the clauses in the contract and therefore can enforce its rights against a contracting party?
Uncapped Liability	Does the clause specify that a party’s liability is uncapped upon the breach of its obligation in the contract? This also includes uncap liability for a particular type of breach such as IP infringement or breach of confidentiality obligation
Unlimited-All-You-Can-Eat License	Does the clause grant one party an “enterprise,” “all you can eat” or unlimited usage license?
Volume Restriction	Does the clause specify a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?
