	text	label
0	"Context: Exactly six trade representatives negotiate a treaty: Klosnik, Londi, Manley, Neri, Osata, Poirier. There are exactly six chairs evenly spaced around a circular table. The chairs are numbered 1 through 6, with successively numbered chairs next to each other and chair number 1 next to chair number 6. Each chair is occupied by exactly one of the representatives. The following conditions apply: Poirier sits immediately next to Neri. Londi sits immediately next to Manley, Neri, or both. Klosnik does not sit immediately next to Manley. If Osata sits immediately next to Poirier, Osata does not sit immediately next to Manley. 
 Question: Which one of the following seating arrangements of the six representatives in chairs 1 through 6 would NOT violate the stated conditions? 
 (0) Klosnik, Poirier, Neri, Manley, Osata, Londi (1) Klosnik, Londi, Manley, Poirier, Neri, Osata (2) Klosnik, Londi, Manley, Osata, Poirier, Neri (3) Klosnik, Osata, Poirier, Neri, Londi, Manley (4) Klosnik, Neri, Londi, Osata, Manley, Poirier 
 Answer:"	(1) Klosnik, Londi, Manley, Poirier, Neri, Osata
1	"Context: Exactly six trade representatives negotiate a treaty: Klosnik, Londi, Manley, Neri, Osata, Poirier. There are exactly six chairs evenly spaced around a circular table. The chairs are numbered 1 through 6, with successively numbered chairs next to each other and chair number 1 next to chair number 6. Each chair is occupied by exactly one of the representatives. The following conditions apply: Poirier sits immediately next to Neri. Londi sits immediately next to Manley, Neri, or both. Klosnik does not sit immediately next to Manley. If Osata sits immediately next to Poirier, Osata does not sit immediately next to Manley. 
 Question: If Londi sits immediately next to Poirier, which one of the following is a pair of representatives who must sit immediately next to each other? 
 (0) Klosnik and Osata (1) Londi and Neri (2) Londi and Osata (3) Manley and Neri (4) Manley and Poirier 
 Answer:"	(0) Klosnik and Osata
2	"Context: Exactly six trade representatives negotiate a treaty: Klosnik, Londi, Manley, Neri, Osata, Poirier. There are exactly six chairs evenly spaced around a circular table. The chairs are numbered 1 through 6, with successively numbered chairs next to each other and chair number 1 next to chair number 6. Each chair is occupied by exactly one of the representatives. The following conditions apply: Poirier sits immediately next to Neri. Londi sits immediately next to Manley, Neri, or both. Klosnik does not sit immediately next to Manley. If Osata sits immediately next to Poirier, Osata does not sit immediately next to Manley. 
 Question: If Klosnik sits directly between Londi and Poirier, then Manley must sit directly between 
 (0) Londi and Neri (1) Londi and Osata (2) Neri and Osata (3) Neri and Poirier (4) Osata and Poirier 
 Answer:"	(1) Londi and Osata
3	"Context: Exactly six trade representatives negotiate a treaty: Klosnik, Londi, Manley, Neri, Osata, Poirier. There are exactly six chairs evenly spaced around a circular table. The chairs are numbered 1 through 6, with successively numbered chairs next to each other and chair number 1 next to chair number 6. Each chair is occupied by exactly one of the representatives. The following conditions apply: Poirier sits immediately next to Neri. Londi sits immediately next to Manley, Neri, or both. Klosnik does not sit immediately next to Manley. If Osata sits immediately next to Poirier, Osata does not sit immediately next to Manley. 
 Question: If Neri sits immediately next to Manley, then Klosnik can sit directly between 
 (0) Londi and Manley (1) Londi and Poirier (2) Neri and Osata (3) Neri and Poirier (4) Poirier and Osata 
 Answer:"	(4) Poirier and Osata
4	"Context: Exactly six trade representatives negotiate a treaty: Klosnik, Londi, Manley, Neri, Osata, Poirier. There are exactly six chairs evenly spaced around a circular table. The chairs are numbered 1 through 6, with successively numbered chairs next to each other and chair number 1 next to chair number 6. Each chair is occupied by exactly one of the representatives. The following conditions apply: Poirier sits immediately next to Neri. Londi sits immediately next to Manley, Neri, or both. Klosnik does not sit immediately next to Manley. If Osata sits immediately next to Poirier, Osata does not sit immediately next to Manley. 
 Question: If Londi sits immediately next to Manley, then which one of the following is a complete and accurate list of representatives any one of whom could also sit immediately next to Londi? 
 (0) Klosnik (1) Klosnik, Neri (2) Neri, Poirier (3) Klosnik, Osata, Poirier (4) Klosnik, Neri, Osata, Poirier 
 Answer:"	(4) Klosnik, Neri, Osata, Poirier
5	"Context: Exactly six trade representatives negotiate a treaty: Klosnik, Londi, Manley, Neri, Osata, Poirier. There are exactly six chairs evenly spaced around a circular table. The chairs are numbered 1 through 6, with successively numbered chairs next to each other and chair number 1 next to chair number 6. Each chair is occupied by exactly one of the representatives. The following conditions apply: Poirier sits immediately next to Neri. Londi sits immediately next to Manley, Neri, or both. Klosnik does not sit immediately next to Manley. If Osata sits immediately next to Poirier, Osata does not sit immediately next to Manley. 
 Question: If Londi sits immediately next to Neri, which one of the following statements must be false? 
 (0) Klosnik sits immediately next to Osata. (1) Londi sits immediately next to Manley. (2) Osata sits immediately next to Poirier. (3) Neri sits directly between Londi and Poirier. (4) Osata sits directly between Klosnik and Manley. 
 Answer:"	(2) Osata sits immediately next to Poirier.
6	"Context: Exactly six trade representatives negotiate a treaty: Klosnik, Londi, Manley, Neri, Osata, Poirier. There are exactly six chairs evenly spaced around a circular table. The chairs are numbered 1 through 6, with successively numbered chairs next to each other and chair number 1 next to chair number 6. Each chair is occupied by exactly one of the representatives. The following conditions apply: Poirier sits immediately next to Neri. Londi sits immediately next to Manley, Neri, or both. Klosnik does not sit immediately next to Manley. If Osata sits immediately next to Poirier, Osata does not sit immediately next to Manley. 
 Question: If Klosnik sits immediately next to Osata, then Londi CANNOT sit directly between 
 (0) Klosnik and Manley (1) Klosnik and Neri (2) Manley and Neri (3) Manley and Poirier (4) Neri and Osata 
 Answer:"	(4) Neri and Osata
7	"Context: A small software firm has four offices, numbered 1, 2, 3, and 4. Each of its offices has exactly one computer and exactly one printer. Each of these eight machines was bought in either 1987, 1988, or 1989. The eight machines were bought in a manner consistent with the following conditions: The computer in each office was bought either in an earlier year than or in the same year as the printer in that office. The computer in office 2 and the printer in office 1 were bought in the same year. The computer in office 3 and the printer in office 4 were bought in the same year. The computer in office 2 and the computer in office 3 were bought in different years. The computer in office 1 and the printer in office 3 were bought in 1988. 
 Question: If the computer in office 3 was bought in an earlier year than the printer in office 3 was, then which one of the following statements could be true? 
 (0) The computer in office 2 was bought in 1987. (1) The computer in office 2 was bought in 1988. (2) The computer in office 4 was bought in 1988. (3) The printer in office 4 was bought in 1988. (4) The printer in office 4 was bought in 1989. 
 Answer:"	(1) The computer in office 2 was bought in 1988.
8	"Context: A small software firm has four offices, numbered 1, 2, 3, and 4. Each of its offices has exactly one computer and exactly one printer. Each of these eight machines was bought in either 1987, 1988, or 1989. The eight machines were bought in a manner consistent with the following conditions: The computer in each office was bought either in an earlier year than or in the same year as the printer in that office. The computer in office 2 and the printer in office 1 were bought in the same year. The computer in office 3 and the printer in office 4 were bought in the same year. The computer in office 2 and the computer in office 3 were bought in different years. The computer in office 1 and the printer in office 3 were bought in 1988. 
 Question: Which one of the following statements could be true? 
 (0) The printer in office 1 was bought in 1987. (1) The computer in office 2 was bought in 1987. (2) The computer in office 3 was bought in 1989. (3) The printer in office 4 was bought in 1988. (4) The printer in office 4 was bought in 1989. 
 Answer:"	(3) The printer in office 4 was bought in 1988.
9	"Context: A small software firm has four offices, numbered 1, 2, 3, and 4. Each of its offices has exactly one computer and exactly one printer. Each of these eight machines was bought in either 1987, 1988, or 1989. The eight machines were bought in a manner consistent with the following conditions: The computer in each office was bought either in an earlier year than or in the same year as the printer in that office. The computer in office 2 and the printer in office 1 were bought in the same year. The computer in office 3 and the printer in office 4 were bought in the same year. The computer in office 2 and the computer in office 3 were bought in different years. The computer in office 1 and the printer in office 3 were bought in 1988. 
 Question: If as few of the eight machines as possible were bought in 1987, then what is the exact number of machines that were bought in 1987? 
 (0) 0 (1) 1 (2) 2 (3) 3 (4) 4 
 Answer:"	(0) 0
